Date,Open,High,Low,Close,Adj Close,Volume
2014-03-01,82.220001,92.910004,77.580002,91.620003,72.357361,48572619
2014-04-01,92.449997,94.389999,88.010002,90.180000,71.220116,27442490
2014-05-01,90.180000,92.269997,85.550003,92.089996,72.728531,29760028
2014-06-01,91.750000,94.209999,90.019997,92.620003,75.371216,25902296
2014-07-01,92.860001,96.099998,89.019997,89.339996,72.702057,29605167
2014-08-01,89.360001,91.739998,83.750000,88.599998,72.099869,31202763
2014-09-01,88.750000,92.750000,83.940002,85.019997,69.186569,32415517
2014-10-01,86.000000,86.559998,74.739998,85.320000,69.430702,50282668
2014-11-01,85.400002,91.949997,81.730003,91.949997,74.825989,31883418
2014-12-01,91.099998,92.989998,83.260002,89.769997,73.051979,28979468
2015-01-01,89.769997,105.550003,84.550003,103.400002,84.143639,43368451
2015-02-01,103.650002,113.000000,101.449997,113.000000,91.955811,26613484
2015-03-01,113.500000,123.750000,110.550003,116.449997,94.763306,42845360
2015-04-01,115.500000,117.900002,104.699997,106.099998,86.340805,35496646
2015-05-01,106.099998,110.000000,100.050003,100.699997,81.946457,40275461
2015-06-01,101.000000,105.449997,95.169998,98.180000,82.167305,51299868
2015-07-01,99.529999,102.400002,88.529999,91.300003,76.409409,57228092
2015-08-01,91.250000,93.980003,74.589996,82.220001,68.810310,55919431
2015-09-01,80.870003,88.879997,72.050003,79.220001,66.299591,65207412
2015-10-01,80.620003,94.459999,76.120003,93.360001,78.133430,37270519
2015-11-01,92.730003,104.099998,89.739998,103.300003,86.452263,32013321
2015-12-01,103.599998,104.849998,91.570000,97.629997,81.707001,28595589
2016-01-01,97.629997,97.629997,75.459999,76.660004,64.157127,41690435
2016-02-01,76.889999,77.000000,66.000000,75.150002,62.893391,41656370
2016-03-01,75.269997,83.510002,75.000000,80.699997,67.538208,43112303
2016-04-01,79.599998,85.070000,73.300003,80.500000,67.370834,37428978
2016-05-01,81.320000,82.730003,69.940002,75.889999,63.512699,42008465
2016-06-01,75.919998,75.959999,64.980003,65.790001,57.489525,50548587
2016-07-01,66.269997,78.800003,63.380001,77.050003,67.328896,40571034
2016-08-01,78.440002,81.199997,73.730003,78.010002,68.167778,31282500
2016-09-01,78.269997,79.800003,72.019997,74.809998,65.371506,33538416
2016-10-01,74.809998,80.540001,74.809998,79.370003,69.356186,29978428
2016-11-01,79.800003,83.489998,73.400002,80.410004,70.264977,39492423
2016-12-01,80.160004,90.849998,78.559998,88.750000,77.552750,32245902
2017-01-01,88.339996,91.760002,84.169998,84.169998,73.550583,30879583
2017-02-01,84.830002,87.589996,82.470001,84.370003,73.725357,26245610
2017-03-01,85.000000,87.669998,81.099998,85.510002,74.721535,41949011
2017-04-01,85.980003,88.970001,81.760002,87.650002,76.591530,32944951
2017-05-01,87.650002,91.059998,83.169998,83.290001,72.781616,41260108
2017-06-01,83.510002,87.000000,81.199997,81.279999,73.894417,35052511
2017-07-01,80.510002,84.879997,77.070000,77.709999,70.648804,38985596
2017-08-01,78.010002,82.430000,77.400002,78.000000,70.912460,31968074
2017-09-01,78.199997,85.830002,77.889999,85.830002,78.030983,32221221
2017-10-01,86.000000,89.349998,84.919998,87.500000,79.549232,28382567
2017-11-01,88.120003,90.680000,84.400002,85.330002,77.576416,46933020
2017-12-01,84.660004,88.220001,82.870003,86.830002,78.940117,26556616
2018-01-01,86.830002,97.500000,83.879997,91.970001,83.613060,43754352
2018-02-01,92.139999,93.449997,85.080002,86.820000,78.931023,40367887
2018-03-01,86.400002,88.919998,81.820000,88.150002,80.140167,47063503
2018-04-01,88.150002,92.470001,86.620003,92.470001,84.067627,35305716
2018-05-01,92.470001,93.870003,84.900002,85.379997,77.621864,40254079
2018-06-01,85.809998,87.919998,77.029999,77.629997,73.737381,41652821
2018-07-01,77.099998,84.480003,76.500000,82.690002,78.543655,40077857
2018-08-01,83.739998,85.750000,79.220001,83.410004,79.227554,38656606
2018-09-01,82.949997,86.739998,76.669998,77.709999,73.813370,42949402
2018-10-01,77.940002,79.440002,71.790001,76.230003,72.407585,46004866
2018-11-01,76.519997,79.120003,71.360001,72.209999,68.589157,42682352
2018-12-01,76.699997,77.559998,69.120003,70.699997,67.154869,40525556
2019-01-01,70.699997,74.750000,68.790001,73.459999,69.776474,33401132
2019-02-01,73.750000,74.470001,68.110001,74.309998,70.583855,33892957
2019-03-01,74.900002,76.500000,67.730003,68.750000,65.302650,38722418
2019-04-01,69.639999,78.300003,69.589996,75.900002,72.094131,34322068
2019-05-01,75.900002,76.779999,61.410000,62.020000,58.910118,50117453
2019-06-01,61.700001,65.620003,61.139999,65.089996,65.089996,35117484
2019-07-01,66.519997,70.559998,64.239998,66.830002,66.830002,37307096
2019-08-01,67.000000,67.970001,58.040001,60.810001,60.810001,37815948
2019-09-01,60.500000,65.620003,60.009998,64.589996,64.589996,30501646
2019-10-01,64.900002,70.540001,61.369999,68.709999,68.709999,34337488
2019-11-01,68.889999,75.879997,68.690002,73.300003,73.300003,31682508
2019-12-01,73.389999,77.059998,71.309998,73.139999,73.139999,25834917
2020-01-01,73.139999,75.349998,65.260002,65.559998,65.559998,27823068
